ID,podName,epNum,date,duration,title,guid,desription,keywords,audioURL,description
The-Rest-Is-Politics_355,The-Rest-Is-Politics,355,"Fri, 06 Dec 2024 00:10:00 -0000",993,"348. Syria, Afghanistan, and The Rest Is Classified",534d87fa-b329-11ef-bb07-c79950bcd0c9,,Not Available,https://pdst.fm/e/chrt.fm/track/A27C8C/traffic.megaphone.fm/GLT5004487452.mp3?updated=1733437653,"It has been thirteen years since Bashar al-Assad triggered a civil war which would kill hundreds of thousands of people and devastate Syria. Recent events have shown just how far his rule has shattered the nation. Today Alastair and Rory are joined by former CIA Syria Analyst David McCloskey and host of Goalhanger’s latest podcast, The Rest Is Classified to discuss them, along with his new episode on the first CIA teams in Afghanistan after 9/11.  To hear the full episode, search The Rest Is Classified wherever you get your podcasts. Learn more about your ad choices. Visit podcastchoices.com/adchoices"
The-Rest-Is-Politics_354,The-Rest-Is-Politics,354,"Thu, 05 Dec 2024 00:10:00 -0000",2651,347. Question Time: Biden’s Pardon is Unforgivable,f8c8748e-b184-11ef-aade-d7ee3db1cff4,,Not Available,https://pdst.fm/e/chrt.fm/track/A27C8C/traffic.megaphone.fm/GLT2895658577.mp3?updated=1733248880,"Is Starmer right to dismiss the two million people calling for a general election? What are Georgia’s chances of EU integration? And, if they were heading up British Intelligence, how much information would Rory and Alastair share with America?  Join Rory and Alastair as they answer all these questions and more.  The Rest Is Politics is powered by Fuse Energy, a green electricity supplier powering homes across the UK. Use referral code POLITICS after sign up for a chance to win a signed copy of Rory and Alastair's books with personalised messages. Learn more at getfuse.com/politics ⚡  Get our exclusive NordVPN deal here ➼ nordvpn.com/restispolitics It’s risk-free with Nord’s 30-day money-back guarantee! ✅  TRIP Plus: Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes. Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.  Instagram: @restispolitics Twitter: @RestIsPolitics Email: restispolitics@gmail.com  Assistant Producer: India Dunkley  Video Editor: Josh Smith Social Producer: Jess Kidson Producers: Nicole Maslen, Fiona Douglas Senior Producer: Dom Johnson Head of Content: Tom Whiter Exec Producers: Tony Pastor, Jack Davenport Learn more about your ad choices. Visit podcastchoices.com/adchoices"
The-Rest-Is-Politics_353,The-Rest-Is-Politics,353,"Wed, 04 Dec 2024 00:00:00 -0000",2904,346. The Battle for Syria,71d3cc44-b198-11ef-a41b-b7b3799b9d6b,,Not Available,https://pdst.fm/e/chrt.fm/track/A27C8C/traffic.megaphone.fm/GLT9232226826.mp3?updated=1733248623,"Who are the Syrian rebels who have attacked Aleppo? Will Keir Starmer's reset be enough to convince the public? Why is the French government on the brink of collapse?  Join Rory and Alastair as they answer all this and more in today's episode of The Rest Is Politics.  The Rest Is Politics is powered by Fuse Energy, a green electricity supplier powering homes across England, Scotland & Wales. Use referral code POLITICS after signing up to win a TRIP merch bundle. Learn more at getfuse.com/politics ⚡  Get our exclusive NordVPN deal here ➼ nordvpn.com/restispolitics It’s risk-free with Nord’s 30-day money-back guarantee! ✅  TRIP Plus: Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes. Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.  Instagram: @restispolitics Twitter: @RestIsPolitics Email: restispolitics@gmail.com  Assistant Producer: India Dunkley + Alice Horrell  Video Editor: Josh Smith Social Producer: Jess Kidson Producers: Nicole Maslen + Fiona Douglas Senior Producer: Dom Johnson Head of Content: Tom Whiter Exec Producers: Tony Pastor, Jack Davenport Learn more about your ad choices. Visit podcastchoices.com/adchoices"
The-Rest-Is-Politics_352,The-Rest-Is-Politics,352,"Fri, 29 Nov 2024 00:00:00 -0000",3097,345. TRIP US: The Golden Age of Corruption,76c286fe-ace9-11ef-8f44-a35097b8156e,,Not Available,https://pdst.fm/e/chrt.fm/track/A27C8C/traffic.megaphone.fm/GLT8640553478.mp3?updated=1732731255,"Is the United States entering a new age of corruption? Why are Democrats staying silent? What will be different about a second Trump term?  This week, Anthony Scaramucci is joined by Alastair Campbell to answer all this and more in this episode of The Rest Is Politics US.  Instagram: @RestPoliticsUS Twitter: @RestPoliticsUS Email: TRIPUS@goalhanger.com  Social Producer: Jess Kidson Assistant Producer: India Dunkley Producers: Fiona Douglas + Nicole Maslen Senior Producer: Dom Johnson Head of Digital: Sam Oakley Head of Content: Tom Whiter Exec Producers: Tony Pastor + Jack Davenpor Learn more about your ad choices. Visit podcastchoices.com/adchoices"
The-Rest-Is-Politics_351,The-Rest-Is-Politics,351,"Thu, 28 Nov 2024 00:00:00 -0000",2767,344. Question Time: Should MPs vote with their conscience or constituents?,9894f06e-ac17-11ef-949d-977f67729c34,,Not Available,https://pdst.fm/e/chrt.fm/track/A27C8C/traffic.megaphone.fm/GLT4102307106.mp3?updated=1732711208,"Is there anything wrong with being an isolationist government? How far has ‘woke’ been weaponised by the far-right? Will Rory ever go on reality TV?   Join Rory and Alastair as they answer all these questions and more.  The Rest Is Politics is powered by Fuse Energy, a green electricity supplier powering homes across the UK. Use referral code POLITICS after sign up for a chance to win a signed copy of Rory and Alastair's books with personalised messages. Learn more at getfuse.com/politics ⚡  Get our exclusive NordVPN deal here ➼ nordvpn.com/restispolitics It’s risk-free with Nord’s 30-day money-back guarantee! ✅  TRIP Plus: Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes. Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.   Instagram: @restispolitics Twitter: @RestIsPolitics Email: restispolitics@gmail.com  Assistant Producer: India Dunkley + Alice Horrell Video Editor: Teo Ayodeji-Ansell Social Producer: Jess Kidson Producers: Nicole Maslen, Fiona Douglas Senior Producer: Dom Johnson Head of Content: Tom Whiter Exec Producers: Tony Pastor, Jack Davenport Learn more about your ad choices. Visit podcastchoices.com/adchoices"
The-Rest-Is-Politics_350,The-Rest-Is-Politics,350,"Wed, 27 Nov 2024 00:10:00 -0000",3675,343. What Happens Next: Israel vs. the International Criminal Court,e1e0ca16-ac1e-11ef-932b-dfcec0738cee,,Not Available,https://pdst.fm/e/chrt.fm/track/A27C8C/traffic.megaphone.fm/GLT9603448887.mp3?updated=1732661879,"How has the world responded to the International Criminal Court's arrest warrant for top Israeli officials? What does Trump have planned for the war in Ukraine? Is Chancellor Rachel Reeves really embarking on a ‘growth agenda’?   Join Rory and Alastair as they answer all this and more in today's episode of The Rest Is Politics.  The Rest Is Politics is powered by Fuse Energy, a green electricity supplier powering homes across England, Scotland & Wales. Use referral code POLITICS after signing up to win a TRIP merch bundle. Learn more at getfuse.com/politics ⚡  Get our exclusive NordVPN deal here ➼ nordvpn.com/restispolitics It’s risk-free with Nord’s 30-day money-back guarantee! ✅  TRIP Plus: Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes. Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.  Instagram: @restispolitics Twitter: @RestIsPolitics Email: restispolitics@gmail.com  Assistant Producer: India Dunkley + Alice Horrell  Video Editor: Josh Smith Social Producer: Jess Kidson Producers: Nicole Maslen + Fiona Douglas Senior Producer: Dom Johnson Head of Content: Tom Whiter Exec Producers: Tony Pastor, Jack Davenport Learn more about your ad choices. Visit podcastchoices.com/adchoices"
The-Rest-Is-Politics_349,The-Rest-Is-Politics,349,"Thu, 21 Nov 2024 00:10:00 -0000",2738,"342. Question Time: Farmer vs Starmer, courting China, and the purpose of COP",2379dbbe-a69a-11ef-8c44-63cdfa8d80c3,,Not Available,https://pdst.fm/e/chrt.fm/track/A27C8C/traffic.megaphone.fm/GLT4687617549.mp3?updated=1732185323,"How would Alastair tweak the so-called “tractor-tax” to appease British farmers? Is Keir Starmer spending too much time abroad? And will international law survive Trump?  Join Rory and Alastair as they answer all these questions and more.  The Rest Is Politics is powered by Fuse Energy, a green electricity supplier powering homes across the UK. Use referral code POLITICS after sign up for a chance to win a signed copy of Rory and Alastair's books with personalised messages. Learn more at getfuse.com/politics ⚡  Get our exclusive NordVPN deal here ➼ nordvpn.com/restispolitics It’s risk-free with Nord’s 30-day money-back guarantee! ✅  TRIP Plus: Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes. Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.   Instagram: @restispolitics Twitter: @RestIsPolitics Email: restispolitics@gmail.com  Assistant Producer: India Dunkley + Alice Horrell Video Editor: Teo Ayodeji-Ansell Social Producer: Jess Kidson Producers: Nicole Maslen, Fiona Douglas Senior Producer: Dom Johnson Head of Content: Tom Whiter Exec Producers: Tony Pastor, Jack Davenport Learn more about your ad choices. Visit podcastchoices.com/adchoices"
The-Rest-Is-Politics_348,The-Rest-Is-Politics,348,"Wed, 20 Nov 2024 00:00:00 -0000",3267,341. Biden vs. Trump: A fight for the future of Ukraine,afb77018-a696-11ef-8f94-cfd726fa25b8,,Not Available,https://pdst.fm/e/chrt.fm/track/A27C8C/traffic.megaphone.fm/GLT9540607555.mp3?updated=1732119346,"Is Biden’s move on missiles too little too late for Ukraine? Who will be in Donald Trump’s White House team? Why are business leaders growing tired of Labour?  Join Rory and Alastair as they answer all these questions and more.  The Rest Is Politics is powered by Fuse Energy, a green electricity supplier powering homes across England, Scotland & Wales. Use referral code POLITICS after signing up to win a TRIP merch bundle. Learn more at getfuse.com/politics ⚡  Get our exclusive NordVPN deal here ➼ nordvpn.com/restispolitics It’s risk-free with Nord’s 30-day money-back guarantee! ✅  TRIP Plus: Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes. Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.  Instagram: @restispolitics Twitter: @RestIsPolitics Email: restispolitics@gmail.com  Assistant Producer: India Dunkley + Evan Green Video Editor: Teo Ayodeji-Ansell Social Producer: Jess Kidson Producers: Nicole Maslen, Fiona Douglas Senior Producer: Dom Johnson Head of Content: Tom Whiter Exec Producers: Tony Pastor, Jack Davenport Learn more about your ad choices. Visit podcastchoices.com/adchoices"
The-Rest-Is-Politics_347,The-Rest-Is-Politics,347,"Thu, 14 Nov 2024 00:10:00 -0000",2340,"340. Question Time: Assisted Dying, Texting Macron, and the Politics of Scandal",1ad7df40-a115-11ef-8039-6f3f3921e676,,Not Available,https://pdst.fm/e/chrt.fm/track/A27C8C/traffic.megaphone.fm/GLT6720219288.mp3?updated=1731510406,"Are Alastair and Rory starry-eyed about Australian politics? What have Alastair and Macron been texting about? And, what does the world look like without America at the centre of it?   Join Rory and Alastair as they answer all these questions and more.  The Rest Is Politics is powered by Fuse Energy, a green electricity supplier powering homes across England, Scotland & Wales. Use referral code POLITICS after signing up to win a TRIP merch bundle. Learn more at getfuse.com/politics ⚡  Get our exclusive NordVPN deal here ➼ nordvpn.com/restispolitics It’s risk-free with Nord’s 30-day money-back guarantee! ✅  TRIP Plus: Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes. Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.  Instagram: @restispolitics Twitter: @RestIsPolitics Email: restispolitics@gmail.com  Assistant Producer: India Dunkley + Evan Green  Video Editor: Teo Ayodeji-Ansell Social Producer: Jess Kidson Producers: Nicole Maslen Senior Producer: Dom Johnson Head of Content: Tom Whiter Exec Producers: Tony Pastor, Jack Davenport Learn more about your ad choices. Visit podcastchoices.com/adchoices"
The-Rest-Is-Politics_346,The-Rest-Is-Politics,346,"Wed, 13 Nov 2024 00:00:00 -0000",3565,"339. Trump, the Middle East, and Ukraine",b71eae08-a118-11ef-be27-87e3d14f859f,,Not Available,https://pdst.fm/e/chrt.fm/track/A27C8C/traffic.megaphone.fm/GLT8243652954.mp3?updated=1731498929,"How will the president elect deal with the Israel-Gaza conflict? Does the US election result spell doom for Zelensky? What’s going on in Germany?  Join Rory and Alastair as they answer all these questions and more.  The Rest Is Politics is powered by Fuse Energy, a green electricity supplier powering homes across England, Scotland & Wales. Use referral code POLITICS after signing up to win a TRIP merch bundle. Learn more at getfuse.com/politics ⚡  Get our exclusive NordVPN deal here ➼ nordvpn.com/restispolitics It’s risk-free with Nord’s 30-day money-back guarantee! ✅  TRIP Plus: Become a member of The Rest Is Politics Plus to support the podcast, receive our exclusive newsletter, enjoy ad-free listening to both TRIP and Leading, benefit from discount book prices on titles mentioned on the pod, join our Discord chatroom, and receive early access to live show tickets and Question Time episodes. Just head to therestispolitics.com to sign up, or start a free trial today on Apple Podcasts: apple.co/therestispolitics.  Instagram: @restispolitics Twitter: @RestIsPolitics Email: restispolitics@gmail.com  Assistant Producer: India Dunkley + Evan Green Video Editor: Teo Ayodeji-Ansell Social Producer: Jess Kidson Producers: Nicole Maslen, Fiona Douglas Senior Producer: Dom Johnson Head of Content: Tom Whiter Exec Producers: Tony Pastor, Jack Davenport Learn more about your ad choices. Visit podcastchoices.com/adchoices"
